id,source_drug_id,target_drug_id
1015,DB00014,DB00047
1016,DB00014,DB00071
1017,DB00014,DB00197
1018,DB00014,DB00222
1019,DB00014,DB00284
1020,DB00014,DB00359
1021,DB00014,DB00412
1022,DB00014,DB00414
1023,DB00014,DB00491
1024,DB00014,DB00672
1025,DB00014,DB00731
1026,DB00014,DB00839
1027,DB00014,DB00912
1028,DB00014,DB00914
1029,DB00014,DB01016
1030,DB00014,DB01067
1031,DB00014,DB01120
1032,DB00014,DB01124
1033,DB00014,DB01132
1034,DB00014,DB01200
1035,DB00014,DB01251
1036,DB00014,DB01252
1037,DB00014,DB01261
1038,DB00014,DB01276
1039,DB00014,DB01277
1040,DB00014,DB01278
1041,DB00014,DB01289
1042,DB00014,DB01306
1043,DB00014,DB01307
1044,DB00014,DB01309
1045,DB00014,DB01382
1046,DB00014,DB01700
1047,DB00014,DB04830
1048,DB00014,DB04876
1049,DB00014,DB04878
1050,DB00014,DB05115
1051,DB00014,DB05819
1052,DB00014,DB06011
1053,DB00014,DB06127
1054,DB00014,DB06203
1055,DB00014,DB06292
1056,DB00014,DB06335
1057,DB00014,DB06655
1058,DB00014,DB08382
1059,DB00014,DB08882
1060,DB00014,DB08907
1061,DB00014,DB08962
1062,DB00014,DB09022
1063,DB00014,DB09038
1064,DB00014,DB09043
1065,DB00014,DB09045
1066,DB00014,DB09198
1067,DB00014,DB09199
1068,DB00014,DB09200
1069,DB00014,DB09201
1070,DB00014,DB09265
1071,DB00014,DB09456
1072,DB00014,DB09564
1073,DB00014,DB11567
1074,DB00014,DB11568
1075,DB00014,DB11698
1076,DB00014,DB11723
1077,DB00014,DB11780
1078,DB00014,DB11824
1079,DB00014,DB11827
1080,DB00014,DB11898
1081,DB00014,DB11950
1082,DB00014,DB11992
1083,DB00014,DB12268
1084,DB00014,DB12412
1085,DB00014,DB12417
1086,DB00014,DB12625
1087,DB00014,DB12713
1088,DB00014,DB12781
1089,DB00014,DB12935
1090,DB00014,DB13406
1091,DB00014,DB13446
1092,DB00014,DB13675
1093,DB00014,DB13928
1094,DB00014,DB14027
1095,DB00014,DB14035
1096,DB00014,DB15171
1097,DB00014,DB15217
1098,DB00014,DB00204
1099,DB00014,DB00215
1100,DB00014,DB00261
1101,DB00014,DB00280
1102,DB00014,DB00283
1103,DB00014,DB00308
1104,DB00014,DB00313
1105,DB00015,DB06605
1106,DB00015,DB06695
1107,DB00015,DB01254
1108,DB00015,DB01609
1109,DB00015,DB01586
1110,DB00015,DB02123
1111,DB00015,DB02659
1112,DB00015,DB02691
1113,DB00015,DB03619
1114,DB00015,DB04348
1115,DB00015,DB05990
1116,DB00015,DB06777
1117,DB00015,DB08833
1118,DB00015,DB08834
1119,DB00015,DB08857
1120,DB00015,DB11622
1121,DB00015,DB11789
1122,DB00015,DB09075
1123,DB00015,DB09053
1124,DB00015,DB08935
1125,DB00015,DB06228
1126,DB00015,DB06206
1127,DB00015,DB09070
1128,DB00015,DB00932
1129,DB00015,DB00013
1130,DB00015,DB00163
1131,DB00015,DB09030
1132,DB00015,DB06692
1133,DB00015,DB01381
1134,DB00015,DB01181
1135,DB00015,DB00468
1136,DB00015,DB00908
1137,DB00015,DB00675
1138,DB00015,DB00539
1139,DB00015,DB00806
1140,DB00015,DB00686
1141,DB00015,DB00583
1142,DB00015,DB00255
1143,DB00015,DB00269
1144,DB00015,DB00286
1145,DB00015,DB00783
1146,DB00015,DB00977
